TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-02-10 00:00:00,20054,20055,XN6dBPZqByHDWc0JiO5W,387,387,1518
2023-02-11 11:00:00,20032,20032,d7Uofq4t4DRTai4zMtcmgWgSqSC2,60,60,92
2023-02-11 12:00:00,20048,20048,r2ZkoF2ueJMP9o17NvpfSOzDxPq1,60,60,63
2023-02-11 21:00:00,20049,20043,JgySQU9qZwR8H083Y5n6eTvAeiJ2,87,87,207
2023-02-11 18:00:00,20009,20023,fnKVrlvurlR66TFSa5KRav6gRkr2,100,100,265
2023-02-11 02:00:00,20049,20043,JgySQU9qZwR8H083Y5n6eTvAeiJ2,100,100,255
2023-02-11 20:00:00,20023,20009,bbRQgrn77w47Ynl1zei3,100,100,291
2023-02-11 10:00:00,20041,20049,hT4Z0WL6SUNMdxaNn2ng,100,100,300
2023-02-11 23:00:00,20018,20019,Mwasv0MmlPc9J9vmLyInAxFEb032,114,0,354
2023-02-11 19:00:00,20042,20032,tEY2suXC98ePTC5g7jdxccSYgE52,114,114,359
2023-02-11 14:00:00,20049,20041,hT4Z0WL6SUNMdxaNn2ng,128,128,405
2023-02-11 07:00:00,20005,20006,VaYUt9IMr7NiKLIOxOXnCFtnIm72,128,128,417
2023-02-11 12:00:00,20003,20003,DjHakbTfwKXkeLD24YT8iVROdok2,128,128,396
2023-02-11 08:00:00,20051,20062,aUdwYzgPJ4SpuZduv0hzjrhisZx2,128,128,407
2023-02-11 15:00:00,20028,20010,FffevVaLSrRKYvdxoWl9BjUYXc12,141,141,430
2023-02-11 10:00:00,20007,20026,KdSkX5ob2aVKJfeK7FnB03ZwMED2,141,141,444
2023-02-10 23:00:00,20062,20051,aUdwYzgPJ4SpuZduv0hzjrhisZx2,155,155,494
2023-02-11 00:00:00,20043,20044,2gXjuIFegCOtDQ8vMCyamrrdiS82,155,155,534
2023-02-11 18:00:00,20051,20032,r2ZkoF2ueJMP9o17NvpfSOzDxPq1,155,155,505
2023-02-11 20:00:00,20047,20051,r2ZkoF2ueJMP9o17NvpfSOzDxPq1,169,169,544
2023-02-11 15:00:00,20031,20032,yaLI3jEAHU6V40kszICJ,182,182,633
2023-02-11 18:00:00,20032,20031,s3lCRYNXDTcNYtieUTMGOwwxNvI2,182,182,623
2023-02-11 17:00:00,20043,20019,p0eMwUFfi63VbGfFd8p5,182,182,655
2023-02-11 12:00:00,20041,20048,w6VWeKc4VdgAouMXZGYoh8mUqGt1,196,196,698
2023-02-11 17:00:00,20043,20019,PVdRW4C28IUwneF35gdYlXqEMtY2,196,196,664
2023-02-11 17:00:00,20052,20043,6LoyqGwjgQONe0SD6ykef04VLIp1,0,0,696
2023-02-11 15:00:00,20001,20065,vb9ciPhpheXI8nRFIbhxN7P3Bj73,196,196,707
2023-02-11 17:00:00,20019,20001,DKkmv4kfYlexQdo6Y1wGS9f4c1v1,210,210,742
2023-02-11 16:00:00,20064,20061,sdntLkkUvFX6Y75yMEt5mHaUaMk2,210,210,744
2023-02-11 16:00:00,20006,20020,YgQhyG9qBGWcQkrXEH3SYIcUlgz1,210,0,755
2023-02-11 16:00:00,20006,20020,odHHuF7ywSQdtn2Doxfi3DV6BLV2,210,0,767
2023-02-11 14:00:00,20030,20066,gIzciRwhOUXIFktCQizmTRXU3I42,210,0,773
2023-02-11 14:00:00,20030,20066,LIGex7ZT44S0NRWoOOUICS0xfMZ2,210,0,763
2023-02-11 17:00:00,20020,20066,LqiYk9UeIMOdJQHoRBqdxtjvWl32,237,0,848
2023-02-11 17:00:00,20020,20066,LyHctbTDLASuLkwC0NRZ3QvLf723,237,0,863
